772 - facing - 101
773 - often - 101
774 - it’ll - 101
775 - handed - 101
776 - months - 101
777 - witches - 101
778 - eagerly - 101
779 - definitely - 101
780 - unable - 101
781 - perfectly - 100
782 - putting - 100
783 - staff - 100
784 - eyebrows - 100
785 - pettigrew - 100
786 - quirrell - 100
787 - maxime - 100
788 - snarled - 99
789 - liked - 99
790 - muttering - 99
791 - grass - 99
792 - distant - 98
793 - lucky - 98
794 - realize - 98
795 - sometimes - 98
796 - impatiently - 98
797 - invisible - 98
798 - emerged - 98
799 - early - 98
800 - tables - 98
801 - twenty - 98
802 - waved - 98
803 - conversation - 98
804 - brain - 98
805 - frightened - 97
806 - earth - 97
807 - pressed - 97
808 - nearest - 97
809 - problem - 96
810 - inches - 96
811 - showing - 96
812 - echoed - 96
813 - questions - 96
814 - katie - 96
815 - hello - 95
816 - split - 95
817 - thoughts - 95
818 - stuck - 95
819 - somehow - 95
820 - flames - 95
821 - screaming - 95
822 - hurry - 95
823 - determined - 95
824 - although - 95
825 - worst - 94
826 - hesitated - 94
827 - shouldn’t - 94
828 - growled - 94
829 - thrown - 94
830 - nervous - 94
831 - whisper - 94
832 - spotted - 94
833 - seriously - 94
834 - check - 94
835 - scarlet - 94
836 - passing - 94
837 - scream - 94
838 - asking - 94
839 - highly - 93
840 - letters - 93
841 - ernie - 93
842 - careful - 93
843 - drawing - 93
844 - kingsley - 93
845 - helped - 92
846 - hissed - 92
847 - business - 92
848 - shrieked - 92
849 - trust - 92
850 - moments - 92
851 - charlie - 92
852 - grabbed - 91
853 - writing - 91
854 - fault - 91
855 - seats - 91
856 - hearing - 91
857 - beard - 91
858 - teach - 91
859 - headless - 91
860 - myrtle - 91
861 - downstairs - 90
862 - carried - 90
863 - party - 90
864 - wooden - 90
865 - house-elf - 90
866 - hollow - 90
867 - crack - 90
868 - fifty - 90
869 - objects - 90
870 - horcruxes - 90
871 - cupboard - 89
872 - lived - 89
873 - detention - 89
874 - breathing - 89
875 - badly - 89
876 - names - 89
877 - patronus - 89
878 - history - 88
879 - birthday - 88
880 - growing - 88
881 - gringotts - 88
882 - knowing - 88
883 - furious - 88
884 - understood - 88
885 - glittering - 88
886 - saved - 88
887 - midair - 88
888 - reach - 88
889 - shining - 88
890 - sounds - 88
891 - bludger - 88
892 - excitement - 88
893 - privet - 87
894 - stunned - 87
895 - leading - 87
896 - upward - 87
897 - dungeon - 87
898 - quaffle - 87
899 - human - 87
900 - dursley - 86
901 - gleaming - 86
902 - coldly - 86
903 - lifted - 86
904 - familiar - 86
905 - danger - 86
906 - rising - 86
907 - famous - 86
908 - shouting - 86
909 - shortly - 86
910 - sounding - 86
911 - smell - 86
912 - champions - 86
913 - xenophilius - 86
914 - village - 85
915 - escape - 85
916 - longbottom - 85
917 - packed - 85
918 - swept - 85
919 - imagine - 85
920 - pause - 85
921 - burning - 84
922 - properly - 84
